iter	Passed	Remaining
0	0	430
1	0	369
2	1	362
3	1	358
4	1	368
5	2	359
6	2	352
7	2	350
8	3	346
9	3	343
10	3	339
11	4	341
12	4	336
13	4	335
14	5	334
15	5	332
16	5	330
17	6	329
18	6	325
19	6	325
20	6	323
21	7	322
22	7	319
23	7	318
24	8	318
25	8	318
26	8	316
27	9	317
28	9	316
29	9	314
30	9	312
31	10	310
32	10	310
33	10	309
34	11	308
35	11	306
36	11	307
37	12	310
38	12	311
39	13	314
40	13	315
41	13	314
42	14	315
43	14	312
44	14	311
45	14	309
46	15	308
47	15	308
48	15	307
49	16	306
50	16	305
51	16	305
52	17	305
53	17	304
54	17	303
55	18	305
56	18	306
57	18	306
58	19	308
59	19	306
60	19	305
61	20	305
62	20	304
63	20	303
64	21	302
65	21	301
66	21	302
67	21	298
68	22	299
69	22	300
70	22	300
71	23	300
72	23	299
73	23	298
74	24	298
75	24	298
76	24	299
77	25	298
78	25	298
79	25	298
80	26	297
81	26	297
82	26	296
83	27	295
84	27	293
85	27	292
86	27	290
87	27	289
88	28	288
89	28	287
90	28	287
91	29	286
92	29	285
93	29	286
94	29	285
95	30	284
96	30	283
97	30	283
98	31	283
99	31	283
100	31	282
101	31	280
102	32	280
103	32	280
104	32	279
105	33	279
106	33	279
107	33	278
108	34	278
109	34	277
110	34	276
111	34	276
112	35	275
113	35	275
114	35	274
115	35	273
116	36	272
117	36	272
118	36	271
119	36	270
120	37	270
121	37	269
122	37	268
123	37	267
124	38	267
125	38	267
126	38	266
127	38	265
128	39	265
129	39	264
130	39	264
131	40	263
132	40	263
133	40	262
134	41	262
135	41	262
136	41	262
137	41	261
138	42	261
139	42	260
140	42	260
141	43	260
142	43	260
143	43	259
144	44	259
145	44	259
146	44	259
147	45	259
148	45	259
149	45	259
150	46	258
151	46	258
152	46	257
153	46	257
154	47	257
155	47	256
156	47	256
157	48	256
158	48	255
159	48	255
160	49	255
161	49	255
162	49	254
163	49	254
164	50	253
165	50	253
166	50	253
167	51	253
168	51	252
169	51	252
170	52	252
171	52	252
172	52	251
173	52	251
174	53	250
175	53	250
176	53	250
177	54	250
178	54	250
179	54	250
180	55	249
181	55	249
182	55	249
183	56	249
184	56	249
185	56	248
186	57	248
187	57	247
188	57	247
189	57	246
190	58	246
191	58	246
192	59	246
193	59	247
194	59	247
195	60	247
196	60	246
197	60	246
198	61	246
199	61	245
200	61	245
201	62	245
202	62	244
203	62	244
204	62	243
205	63	243
206	63	243
207	63	242
208	64	243
209	64	243
210	64	243
211	65	243
212	65	243
213	66	242
214	66	242
215	66	242
216	66	241
217	67	241
218	67	241
219	67	240
220	68	240
221	68	239
222	68	239
223	69	239
224	69	238
225	69	238
226	69	238
227	70	237
228	70	237
229	70	236
230	71	236
231	71	236
232	71	236
233	72	235
234	72	235
235	72	234
236	72	234
237	73	234
238	73	233
239	73	233
240	74	233
241	74	232
242	74	232
243	74	232
244	75	231
245	75	231
246	75	230
247	76	230
248	76	230
249	76	229
250	76	229
251	77	229
252	77	229
253	77	228
254	78	228
255	78	227
256	78	227
257	78	227
258	79	226
259	79	226
260	79	226
261	80	225
262	80	225
263	80	225
264	81	225
265	81	224
266	81	224
267	82	224
268	82	224
269	82	223
270	83	223
271	83	222
272	83	222
273	83	222
274	84	221
275	84	221
276	84	221
277	85	221
278	85	220
279	85	220
280	86	220
281	86	220
282	86	220
283	87	219
284	87	219
285	87	219
286	88	218
287	88	218
288	88	218
289	88	217
290	89	217
291	89	217
