iter	Passed	Remaining
0	4	4857
1	5	2605
2	5	1829
3	6	1495
4	6	1286
5	6	1148
6	7	1043
7	7	957
8	8	882
9	8	820
10	8	769
11	8	732
12	9	698
13	9	666
14	9	640
15	10	619
16	10	599
17	10	584
18	11	568
19	11	555
20	11	542
21	11	532
22	12	523
23	12	514
24	13	507
25	13	498
26	13	491
27	13	483
28	14	476
29	14	470
30	14	464
31	15	458
32	15	451
33	15	446
34	16	442
35	16	438
36	16	433
37	16	429
38	17	425
39	17	422
40	17	418
41	18	413
42	18	410
43	18	406
44	19	404
45	19	401
46	19	400
47	20	397
48	20	395
49	20	393
50	21	391
51	21	392
52	21	389
53	22	387
54	22	385
55	22	384
56	23	382
57	23	381
58	23	380
59	24	381
60	24	381
61	25	381
62	25	380
63	25	378
64	26	377
65	26	376
66	26	375
67	27	374
68	27	371
69	27	370
70	28	368
71	28	367
72	28	365
73	29	363
74	29	361
75	29	359
76	29	358
77	30	357
78	30	355
79	30	353
80	31	352
81	31	351
82	31	347
83	31	346
84	32	345
85	32	344
86	32	343
87	33	342
88	33	341
89	33	339
90	33	338
91	34	337
92	34	336
93	34	335
94	35	334
95	35	333
96	35	333
97	36	331
98	36	331
99	36	330
100	37	330
101	37	329
102	37	328
103	38	328
104	38	332
105	39	331
106	39	331
107	39	329
108	40	329
109	40	327
110	40	326
111	41	325
112	41	324
113	41	324
114	42	323
115	42	322
116	42	320
117	42	320
118	43	319
119	43	319
120	43	318
121	44	316
122	44	315
123	44	315
124	44	314
125	45	313
126	45	312
127	45	311
128	46	316
129	47	318
130	47	318
131	48	317
132	48	316
133	48	315
134	49	314
135	49	313
136	49	312
137	49	311
138	50	311
139	50	310
140	50	310
141	51	308
142	51	307
143	51	306
144	51	305
145	52	304
146	52	304
147	52	303
148	53	303
149	53	303
150	53	303
151	54	302
152	54	303
153	55	302
154	55	301
155	55	301
156	56	301
157	56	301
158	56	300
159	57	300
160	57	299
161	57	298
162	57	297
163	58	297
164	58	296
165	58	296
166	59	295
167	59	295
168	59	294
169	60	294
170	60	293
171	60	293
172	61	292
173	61	291
174	61	291
175	62	290
176	62	290
177	62	289
178	63	289
179	63	288
180	63	288
181	63	287
182	64	286
183	64	286
184	64	285
185	65	285
186	65	284
187	65	284
188	66	283
189	66	282
190	66	282
191	66	281
192	67	281
193	67	280
194	67	279
195	68	279
196	68	279
197	68	278
198	69	277
199	69	277
200	69	276
201	70	276
202	70	276
203	70	275
204	71	275
205	71	275
206	71	274
207	71	274
208	72	273
209	72	273
210	72	272
211	73	272
212	73	271
213	73	271
214	74	271
215	74	271
216	74	270
217	75	270
218	75	269
219	75	269
220	76	268
221	76	268
222	76	267
223	77	267
224	77	266
225	77	266
226	77	265
227	78	265
228	78	264
229	78	264
230	79	263
231	79	263
232	79	262
233	80	262
234	80	261
235	80	261
236	81	260
237	81	260
238	81	259
239	81	259
240	82	258
241	82	258
242	82	257
243	83	257
244	83	257
245	83	256
246	83	255
247	84	255
248	84	255
249	84	254
250	85	254
251	85	253
252	85	253
253	86	253
254	86	252
255	86	252
256	87	252
257	87	251
258	87	251
259	88	250
260	88	250
261	88	249
262	88	249
263	89	249
264	89	249
265	90	249
266	90	248
267	90	248
268	91	247
269	91	247
270	91	246
271	92	246
272	92	246
273	92	245
274	92	245
275	93	244
276	93	244
277	93	243
278	94	243
279	94	242
280	94	242
281	95	242
282	95	241
283	95	241
284	95	240
285	96	240
286	96	239
287	96	239
288	96	238
289	97	238
290	97	237
291	97	237
292	98	236
293	98	236
294	98	236
295	99	235
296	99	235
297	99	235
298	100	234
299	100	234
300	100	233
301	100	233
302	101	233
303	101	232
304	101	232
305	102	232
306	102	231
307	103	231
308	103	231
309	104	231
310	104	231
311	104	230
312	104	230
313	105	229
314	105	229
315	105	229
316	106	228
317	106	228
318	106	228
319	107	227
320	107	227
321	107	227
322	108	226
323	108	226
324	108	225
325	108	225
326	109	224
327	109	224
328	109	223
329	110	223
330	110	223
331	110	222
332	111	222
333	111	221
334	111	221
335	111	221
336	112	220
337	112	220
338	112	220
339	113	219
340	113	219
341	113	218
342	114	218
343	114	218
344	114	217
345	115	217
346	115	217
347	115	216
348	116	216
349	116	216
350	116	215
351	116	215
352	117	214
353	117	214
354	117	214
355	118	213
356	118	213
357	118	213
358	119	212
359	119	212
360	119	211
361	119	211
362	120	210
363	120	210
364	120	210
365	121	210
366	121	209
367	121	209
368	122	208
369	122	208
370	122	208
371	123	207
372	123	207
373	123	206
374	124	206
375	124	206
376	124	205
377	124	205
378	125	205
379	125	204
380	125	204
381	126	204
382	126	203
383	126	203
384	127	203
385	127	202
386	127	202
387	128	202
388	128	201
389	128	201
390	128	200
391	129	200
392	129	200
393	129	199
394	130	199
395	130	198
396	130	198
397	131	198
398	131	197
399	131	197
400	131	197
401	132	196
402	132	196
403	132	196
404	133	195
405	133	195
406	133	194
407	133	194
408	134	194
409	134	193
410	134	193
411	135	193
412	135	192
413	135	192
414	136	192
415	136	191
416	136	191
417	137	190
418	137	190
419	137	190
420	138	189
421	138	189
422	138	189
423	138	188
424	139	188
425	139	187
426	139	187
427	140	187
428	140	186
429	140	186
430	140	185
431	141	185
432	141	185
433	141	184
434	141	184
435	142	184
436	142	183
437	142	183
438	143	183
439	143	182
440	143	182
441	144	182
442	144	181
443	144	181
444	145	180
445	145	180
446	145	180
447	145	179
448	146	179
449	146	179
450	146	178
451	147	178
452	147	178
453	147	177
454	147	177
455	148	176
456	148	176
457	148	176
458	149	175
459	149	175
460	149	174
461	149	174
462	150	174
463	150	173
464	150	173
465	151	173
466	151	172
467	151	172
468	151	171
469	152	171
470	152	171
471	152	170
472	152	170
473	153	170
474	153	169
475	153	169
476	154	168
477	154	168
478	154	168
479	154	167
480	155	167
481	155	167
482	155	166
483	156	166
484	156	165
485	156	165
486	156	165
487	157	165
488	157	164
489	157	164
490	158	163
491	158	163
492	158	163
493	158	162
494	159	162
495	159	161
496	159	161
497	159	161
498	160	160
499	160	160
500	160	160
501	161	159
502	161	159
503	161	158
504	161	158
505	162	158
506	162	157
507	162	157
508	162	157
509	163	156
510	163	156
511	164	156
512	164	156
513	164	155
514	165	155
515	165	155
516	165	154
517	165	154
518	166	153
519	166	153
520	166	153
521	166	152
522	167	152
523	167	152
524	167	151
525	167	151
526	168	150
527	168	150
528	168	150
529	169	149
530	169	149
531	169	149
532	169	148
533	170	148
534	170	148
535	170	147
536	170	147
537	171	146
538	171	146
539	171	146
540	171	145
541	172	145
542	172	145
543	172	144
544	172	144
545	173	143
546	173	143
547	173	143
548	173	142
549	174	142
550	174	142
551	174	141
552	175	141
553	175	141
554	175	140
555	176	140
556	176	140
557	176	139
558	176	139
559	177	139
560	177	138
561	177	138
562	177	138
563	178	137
564	178	137
565	178	137
566	179	136
567	179	136
568	179	136
569	179	135
570	180	135
571	180	135
572	180	134
573	180	134
574	181	133
575	181	133
576	181	133
577	182	132
578	182	132
579	182	132
580	182	131
581	183	131
582	183	131
583	183	130
584	184	130
585	184	130
586	184	129
587	184	129
588	185	129
589	185	128
590	185	128
591	186	128
592	186	127
593	186	127
594	186	127
595	187	126
596	187	126
597	187	126
598	188	125
599	188	125
600	188	125
601	188	124
602	189	124
603	189	124
604	189	123
605	189	123
606	190	123
607	190	122
608	190	122
609	191	122
610	191	121
611	191	121
612	191	121
